isbn,title,year,author,pages,publisher,genres,tag,price,rating_avg,review_count,cover,link_buy,description
9786043651342,Sách Hướng Nội - Sức Mạnh Tiềm Ẩn Trong Bán Hàng,2016,Sean Lim,280.0,Nhà Xuất Bản Thanh Niên,"Sách Marketing, Sách kinh tế","sach-marketing, sach-kinh-te",58500,4.7,19,https://salt.tikicdn.com/cache/280x280/ts/product/c2/0a/26/fcd33ee663a5401f538562405389295c.png,https://tiki.vn/sach-huong-noi-suc-manh-tiem-an-trong-ban-hang-p1648937.html?spid=51288573,"Hướng Nội - Sức Mạnh Tiềm ẩn Trong Bán Hàng Nhắc đến bán hàng, người ta sẽ nghĩ đến những người khéo léo trong giao tiếp, cởi mở, hồ hởi với tất cả mọi người. Nhắc đến người hướng nội, người ta sẽ n..."
9786043308200,Sách - One Piece - Tập 106 - “Giấc Mơ Của Thiên Tài” - Bản Bìa Áo,2021,Eiichiro Oda,383.0,Nhà Xuất Bản Kim Đồng,"Manga, Truyện Tranh","manga, truyen-tranh",29400,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/59/69/71/b3e5c8fd2c4a712cc6229bb5b5b41479.jpg,https://tiki.vn/sach-one-piece-tap-106-giac-mo-cua-thien-tai-ban-bia-ao-p278092651.html?spid=278092652,One Piece - Tập 106 - “Giấc Mơ Của Thiên Tài” Băng Hải tặc Mũ Rơm đã đặt chân lên đảo Egghead. Ở đó có khu nghiên cứu của Dr. Vegapunk cùng vô số kĩ thuật chưa ai biết tới khiến máu thám hiể...
9786043564581,Sách - Claymore - Tập 13 - Những Kẻ Phản Kháng,2017,Norihiro Yagi,249.0,NXB Trẻ,"Sách văn học, Tiểu Thuyết","sach-van-hoc, tieu-thuyet",39600,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/d2/75/1e/5e877c2e1288b54350e38d8faecae26b.jpg,https://tiki.vn/sach-claymore-tap-13-nhung-ke-phan-khang-p278016914.html?spid=278016916,"Claymore - Tập 13 - Những Kẻ Phản Kháng “Yoma”, một thực thể quái vật chuyên ăn nội tạng và đội lốt chính nạn nhân của chúng để trà trộn vào nhân gian. Sau quãng thời gian dài không thể phản..."
9786043497021,Sách Lá Cờ Thêu Sáu Chữ Vàng (Ngàn Năm Sử Việt - Nhà Trần),2019,Nguyễn Huy Tưởng,128.0,Nhà Xuất Bản Kim Đồng,"Sách thiếu nhi, Truyện kể cho bé","sach-thieu-nhi, truyen-ke-cho-be",32000,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/16/95/d3/6b50b3abd11def5080220389d63b03e3.jpg,https://tiki.vn/sach-la-co-theu-sau-chu-vang-ngan-nam-su-viet-nha-tran-p277483574.html?spid=277483579,"Trước dã tâm xâm lược của giặc, triều đình mở hội nghị ở bến Bình Than để bàn kế sách. Trần Quốc Toản muốn tâu vua xin đánh, nhưng vì còn ít tuổi nên không được dự bàn. Giận giặc và tủi thân, chàng đã..."
9786043947525,Sách Hết Nước Chấm,2014,Phan Thủy Bếp Phó,216.0,Nhà Xuất Bản Công Thương,"Sách Thường Thức, Sách Nấu ăn","sach-thuong-thuc, sach-nau-an",260300,5.0,3,https://salt.tikicdn.com/cache/280x280/ts/product/82/73/4c/41e7d870efb39d5d85291f34560a4119.jpg,https://tiki.vn/sach-het-nuoc-cham-p277441653.html?spid=277441654,"Phan Thủy Bếp Phó đã gắn bó hơn 10 năm với nghề bếp và là người sáng lập, giảng viên của Kim Nam, thương hiệu chuyên đào tạo các lớp dạy nấu ăn với hơn 15.000 học viên trên khắp cả nước.Bạn có biết r..."
9786043927625,Sách - Cờ Vua - Tập 2 - Ván Cờ Hoàn Hảo (Tái Bản 2024),2005,Lương Trọng Minh,196.0,Nhà Xuất Bản Hội Nhà Văn,Thể Dục,the-duc,101400,5.0,3,https://salt.tikicdn.com/cache/280x280/ts/product/ea/31/e1/a10654b9c2c7fd8cf898b21443a11eb5.jpg,https://tiki.vn/sach-co-vua-tap-2-van-co-hoan-hao-tai-ban-2024-p277362278.html?spid=277362279,"Cờ Vua - Tập 2 - Ván Cờ Hoàn Hảo Tập 1 của bộ sách đã giới thiệu với bạn đọc những kiến thức cơ bản về Cờ Vua. Tuy nhiên, hẳn các bạn đều mong muốn có thể chơi Cờ Vua ở mức thuần thục và tiế..."
9786043175926,Sách Nghệ Thuật Sống Hạnh Phúc Dưới Góc Nhìn Khoa Học,2013,Nhiều tác giả,320.0,Nhà Xuất Bản Thế Giới,"Sách kỹ năng sống, Sách tư duy","sach-ky-nang-song, sach-tu-duy",142500,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/bc/cd/29/8ab7197818b166e79d67d69538793fec.jpg,https://tiki.vn/sach-nghe-thuat-song-hanh-phuc-duoi-goc-nhin-khoa-hoc-p277316439.html?spid=277316440,"""NGHỆ THUẬT SỐNG HẠNH PHÚC DƯỚI GÓC NHÌN KHOA HỌCTỉ lệ “không hạnh phúc” lắm ngày càng tăng trong cuộc sốngChỉ trong một thập kỉ qua, tỉ lệ người Mỹ nói rằng họ """"không hạnh phúc lắm"""" đã tăng từ 10..."
9786043669798,Sách Mã nguồn: Khởi đầu của tôi - Bill Gates,2001,Bill Gates,392.0,NXB Trẻ,"Sách doanh nhân, Sách kinh tế","sach-doanh-nhan, sach-kinh-te",152000,5.0,27,https://salt.tikicdn.com/cache/280x280/ts/product/fc/5d/ec/414d846866c8a84adc3645a9cc3ccb34.jpg,https://tiki.vn/sach-ma-nguon-khoi-dau-cua-toi-bill-gates-p277228004.html?spid=277228005,"MÃ NGUỒN: KHỞI ĐẦU CỦA TÔI – Bill Gates#1 SÁCH BÁN CHẠY NHẤT CỦA NEW YORK TIMESTrong tác phẩm này, Bill Gates – nhà sáng lập Microsoft – kể lại hành trình đầy cảm hứng từ những ngày đầu lập trình ch..."
9786043789199,Jane Eyre Bìa Cứng (Tái Bản 2024),2019,Charlotte Brontë,800.0,Nhà Xuất Bản Văn Học,"Sách văn học, Tác phẩm kinh điển","sach-van-hoc, tac-pham-kinh-ien",233700,4.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/50/e7/4d/16ea3650f664fe33ca3c5d7fcd5ad594.jpg,https://tiki.vn/jane-eyre-bia-cung-tai-ban-2024-p276589401.html?spid=276589402,"Giới thiệu sản phẩm:Jane Eyre là hình tượng tiêu biểu của những số phận có vịthế hết sức khiêm nhường, bị xã hội ruồng rẫy nhưng đãdũng cảm đứng lên phản kháng lại bằng tất cả ý chí, nghịlực và tâm h..."
9786043709772,The Light Seer’s Tarot (Bộ Bài & Sách Hướng Dẫn),2018,Chris-Anne,224.0,Nhà Xuất Bản Thế Giới,"Sách Kiến Thức Tổng Hợp, Sách Chiêm Tinh","sach-kien-thuc-tong-hop, sach-chiem-tinh",200000,4.8,16,https://salt.tikicdn.com/cache/280x280/ts/product/92/44/9d/b45e68f9aa26b801a560a02289ea0bb8.jpg,https://tiki.vn/the-light-seer-s-tarot-bo-bai-sach-huong-dan-p275698417.html?spid=275698419,"The Light Seer’s Tarot (Bộ Bài & Sách Hướng Dẫn)Bộ bài The Light seer's Tarot gồm 78 lá bài và sách hướng dẫn, luôn là một trong những bộ bài bán chạy nhất Amazon và có đánh giá trung bình rất ca..."
